YearWeekISO,ReportingCountry,Denominator,NumberDosesReceived,NumberDosesExported,FirstDose,FirstDoseRefused,SecondDose,DoseAdditional1,UnknownDose,Region,TargetGroup,Vaccine,Population
2020-W52,PL,2754264,,,0,,0,0,0,PL,Age18_24,AZ,37958138
2020-W52,PL,257651,,,0,,0,0,0,PL41,Age18_24,COM,37958138
2020-W52,PL,2754264,,,0,,0,0,0,PL,Age18_24,MOD,37958138
2020-W52,PL,67721,,,0,,0,0,0,PL52,Age18_24,JANSS,37958138
2020-W52,PL,163186,,,0,,0,0,0,PL81,Age18_24,JANSS,37958138
2020-W52,PL,171036,,,0,,0,0,0,PL63,Age18_24,AZ,37958138
2020-W52,PL,67721,,,1,,0,0,0,PL52,Age18_24,COM,37958138
2020-W52,PL,109948,,,0,,0,0,0,PL62,Age18_24,MOD,37958138
2020-W52,PL,170066,,,0,,0,0,0,PL82,Age18_24,MOD,37958138
2020-W52,PL,88801,,,0,,0,0,0,PL84,Age18_24,JANSS,37958138
2020-W52,PL,109948,,,0,,0,0,0,PL62,Age18_24,AZ,37958138
2020-W52,PL,163186,,,0,,0,0,0,PL81,Age18_24,COM,37958138
2020-W52,PL,169826,,,6,,0,0,0,PL71,Age18_24,COM,37958138
2020-W52,PL,,,,0,,0,0,0,PL92X,Age18_24,JANSS,37958138
2020-W52,PL,299728,,,0,,0,0,0,PL22,Age18_24,JANSS,37958138
2020-W52,PL,155296,,,0,,0,0,0,PL61,Age18_24,AZ,37958138
2020-W52,PL,155296,,,3,,0,0,0,PL61,Age18_24,COM,37958138
2020-W52,PL,189725,,,6,,0,0,0,PL51,Age18_24,COM,37958138
2020-W52,PL,299728,,,0,,0,0,0,PL22,Age18_24,AZ,37958138
2020-W52,PL,73609,,,0,,0,0,0,PL43,Age18_24,JANSS,37958138
2020-W52,PL,171036,,,1,,0,0,0,PL63,Age18_24,COM,37958138
2020-W52,PL,91866,,,0,,0,0,0,PL72,Age18_24,MOD,37958138
2020-W52,PL,73609,,,0,,0,0,0,PL43,Age18_24,MOD,37958138
2020-W52,PL,73609,,,0,,0,0,0,PL43,Age18_24,COM,37958138
2020-W52,PL,299728,,,0,,0,0,0,PL22,Age18_24,MOD,37958138
2020-W52,PL,2754264,,,43,,0,0,0,PL,Age18_24,COM,37958138
2020-W52,PL,257651,,,0,,0,0,0,PL41,Age18_24,JANSS,37958138
2020-W52,PL,170066,,,0,,0,0,0,PL82,Age18_24,JANSS,37958138
2020-W52,PL,,,,0,,0,0,0,PL92X,Age18_24,AZ,37958138
2020-W52,PL,88801,,,0,,0,0,0,PL84,Age18_24,MOD,37958138
2020-W52,PL,257295,,,0,,0,0,0,PL21,Age18_24,JANSS,37958138
2020-W52,PL,109948,,,2,,0,0,0,PL62,Age18_24,COM,37958138
2020-W52,PL,,,,0,,0,0,0,PL92X,Age18_24,MOD,37958138
2020-W52,PL,120140,,,0,,0,0,0,PL42,Age18_24,COM,37958138
2020-W52,PL,189725,,,0,,0,0,0,PL51,Age18_24,MOD,37958138
2020-W52,PL,257651,,,0,,0,0,0,PL41,Age18_24,AZ,37958138
2020-W52,PL,257295,,,0,,0,0,0,PL21,Age18_24,MOD,37958138
2020-W52,PL,120140,,,0,,0,0,0,PL42,Age18_24,JANSS,37958138
2020-W52,PL,120140,,,0,,0,0,0,PL42,Age18_24,MOD,37958138
2020-W52,PL,169826,,,0,,0,0,0,PL71,Age18_24,MOD,37958138
2020-W52,PL,91866,,,0,,0,0,0,PL72,Age18_24,AZ,37958138
2020-W52,PL,163186,,,0,,0,0,0,PL81,Age18_24,AZ,37958138
2020-W52,PL,189725,,,0,,0,0,0,PL51,Age18_24,JANSS,37958138
